title,story,phonics_focus,sentence_count,source
Ping and Tink,"Ping and Tink are in Miss Lang’s class. “What would you like to do, Ping?” asks Tink. “Let me think. I want to do stamps. Can you bring them to me?” asks Ping. Tink gets the stamps with the ink pads. “I have the stamps plus a tub of felt tip pens,” says Tink. “I will get the blank books from the shelf,” says Ping. “What should we stamp in our books?” asks Tink. “Let’s stamp what we wish for. I wish I had six dogs,” says Ping. “I wish I could go to a brick shop. I would get bins and bins of bricks,” says Tink. The kids stamp and stamp. Then, Ping looks sad. “This is a big mess! The dogs look mad! Can you help me, Tink?” Tink stamps on Ping’s book. “There you go! The dogs are glad.” “Thank you so much! You are the best pal!” says Ping.",Digraphs Review 2,21,ufli
The Lost Case,"Chase has a gift from his dad. It is a black case with a red lock. He can lock his things in the case so they are safe. He drops the case by the gate in the sun. Then he goes to snack on his grapes. When Chase goes back to the gate, he can not find the case. “Who would take this case?” says Chase. His sis, Mave, waves from the path to the gate. “Did you take the case Dad gave me?” Chase asks Mave. “No!” Mave said with a shake. “This is not a game!” Chase states. “I did not take the case!” Mave yells. Mom walks up to them. “What is it?” “Mave hid the case dad gave me, and she will not tell me where it is.” said Chase. “I did not take the case! This is just a tale from Chase!” said Mave. Mom takes a look at Chase and grins. “Chase, what Mave said is not fake. I have the case. It is in the shade so it would not fade in the sun.” “See!” says Mave, “I would not take your case.” “I made a mess of this,” said Chase. Mave hugs Chase. Chase hugs Mave back. Mom, Chase, and Mave go sit in the shade with Chase’s case.",a_e /ā/,23,ufli
Let’s Go on a Bike Ride,"Blake and Mike plan to go on a long bike ride. They want to go fast to save time. “We could bring my kite and have fun with it”, said Blake. “I like that!” said Mike. They bike up the wide hill. “Let’s ride up fast!” said Blake. “Yes, we have a mile left to go,” said Mike. “Look!” said Blake. Blake and Mike pass by five kids on bikes. They are on a bike ride up the same hill. “Fast, fast, fast! We want to save time for fun with the kite!” said Blake. Oh no! They crash into a shrub. “Help!” whines Mike. Blake helps Mike get back on his bike. “Thanks. You are such a pal!” said Mike. “This is quite a bike ride!” said Blake. “What a thrill!” said Mike. Blake and Mike ride to the top of the hill with their kite in hand. Blake and Mike had lots of fun!",i_e,22,ufli
The Bone,"The phone rang. Cole woke in bed and sat up. “Who is it?” asks Cole. “It’s mom. Can you help me?” “With what?” asks Cole. “I went to get the bone for Stone, the pup, but it fell in a hole!” said Mom. “I can help!” said Cole. Cole drove to Mom’s home as quick as he could to get the bone for Stone. “The bone is white. It got stuck in there!” said Mom. Cole dove in the hole to get the bone. Mom froze. Did Cole save Stone’s bone? Yes! Cole got the bone for Stone. “Thank you so much, Cole!” said Mom.",o_e /ō/,16,ufli
Make and Take,"Blaze and Slone are in a make and take class. Blaze looks at the list of things to make. “I would like to glitz up a frame. What do you want to do, Slone?” Slone looks at the list. “I would like to glaze a cake,” she says, “Do we have time to do these things?” “I think we do. Let’s sit here on this bench,” Blaze adds. Slone grabs the cake kit. She goes with a white and pink theme. She frosts the cake white. Then she pipes pink roses on the top. Blaze grabs the frame kit. They stick glass stones on the frame. Then they add shells. “The frame looks fab!” said Slone. “The cake looks grand!” said Blaze. Slone hands the cake to Blaze. “A gift for you,” she says with a smile. Blaze grins back and gifts Slone the frame.",VCe Review 1; e_e /ē/,18,ufli
Bash with a Theme,"Steve wants to have a big bash with a theme. He asks his pal Cade to do it with him. Steve said, “Let’s use this twine to make nine spheres.” “Yes! We can make them look like globes.” says Cade. “Do you think we have time to make a dome cake?” ask Steve. “Yes! We can make it shine like the sun!” Cade states. “My, my, that would be quite a fine cake for the theme!” “Would you like it if Mike came?” asks Steve. “I could call him on the phone.” “Yes, tell him the date. He likes a fun theme” says Cade. On the date of the bash, Mike got on his bike and rode to Steve’s home. The mates had quite the time at the bash with the theme! What do you think the theme was?",VCe Review 1; e_e /ē/,13,ufli
Dane the Duke,"Once there was a fine duke. His name was Dane. Dane was not the same as the rest of the dukes in his land. Dane was the one duke that was a bit odd. Dane chose to ride a mule. The rest of the dukes did not ride mules. When Dane sat on his throne, he would hum tunes. The rest of the dukes did not hum tunes on their thrones. The dukes were all rude to Dane for his mules and his tunes. Yet, Dane was not rude to them. Once, a duke fell off his bike in a sand dune. Dane was the one who gave the duke a hand. When the duke got up, he said thank you to Dane. “I can see what a brave pal you are,” said the duke. We should not be so rude to you. “Thanks,” said Dane, “would you like a ride home on my mule?”","u_e /ū/, /yū/",16,ufli
Shane and Tate Hike,"Shane and Tate like to go for hikes in the grove. They like to hike as the sun sets. Once, they went for a hike and came back with quite the tale. They were a mile into the hike when Shane said they should take a rest. “If we stop, we will be home late,” said Tate with a wise tone. “It is not that late yet,” said Shane with a wave. “I vote we rest.” “Fine,” said Tate, “but just for a bit.” Shane and Tate sat on a pine log. Just then, Shane felt a poke on his leg. He rose with a shock. The poke was a sting! “Get up,” yells Shane, “we sat in a hive!” Tate and Shane sprint from the hive. They did not stop til they got to the end of the hike. Tate and Shane huff and puff as they walk back home from their hike. Shane lifts his pant leg and looks at his sting. “So much for a nice rest.”",VCe Review 2,15,ufli
"My Wife, Suze","My wife, Suze, was once a cute bride. On the eve we wed, Suze chose to standby my side as my date for life. We ate lime cake with my best mates. We got nine gifts. One mate gave us a rose vase. We had quite a fine time! At the end of the bash, we gave one last wave to the mates. Next, we rode home in a fine white truck. We sat close while we spoke of the fun time we had. We still have that white truck. When I ride in it, I smile and think of that time with pride. I was wise to make Suze my bride for life!",VCe Review 2,12,ufli
Dove Love,"I have some doves that live by my home. I love to give the doves some white rice as a snack. I sit on the bench and toss rice in the grass. Some have come close to me as they munch on their rice. They like to come close when I sit still. Once, one of the doves sat by my side while he ate. When they are done with their snacks, they take their place back on the line by my home. Then they flock to the nests where they live. If they could talk, I think they would thank me. I just love those doves!","VCe Review 3, VCe Exceptions",10,ufli
Benches for the Shop,Chase and Kate have skills with axes. They can use their axes to chop and slice and make nice things. Their bosses ask them to use their axes to make two benches for their shop. Chase and Kate grab their glasses to be safe. Chase slashes up a slab of pine with his ax. Kate makes frames for the benches and then they add the legs. Kate brushes the dust off the benches and Chase rushes to bag up the trash. They are all done. Kate does not think the benches look bad at all. Their bosses love the benches and ask if they can make a shelf next.,-es,10,ufli
The Boxes,"“Brice, can you help me?” calls dad. Brice looks up. He sees two boxes. “What can I help you with?” asks Brice. “We have to look at the stuff in these boxes to see what we can get rid of.” Dad hands a box to Brice. “You look in this one and I will look in that one.” Brice looks in his box. He sees some of his mom’s dresses. “Dad, does mom still want these dresses?” “Let’s ask. Set those dresses to the side.” Brice looks back in the box. He sees a set of dishes. “Dad, should we toss these dishes?” “No, I like those.” said dad, “Set them to the side.” Brice sees one last thing in the box. It’s a set of glasses. “Dad, should we get rid of these glasses?” “No, we can’t get rid of those, they match the dishes. Set them to the side.” Brice taps his hand to his face and grins. “Dad, we did not get rid of one thing!”",-es,15,ufli
Brent’s Snacks,"Brent loves snacks. His dad packed him many things that filled up his lunch bag. Brent crunched and chomped on his snacks at lunch. As he munched, Brent looked at his mates. They did not have any snacks. They looked like they wanted some of his snacks. Brent does not like to give up his snacks. His dad hinted that he should check to see if his mates wanted any. Brent just grunted at his dad. Brent’s dad added two snacks to his bag just in case. Brent looked at the two snacks and called to his mates. He asked if they wanted any. The mates said “YES!” Brent handed them the frosted snacks. They chanted, “Many thanks, Brent!” Brent was shocked that it felt so nice to give his snacks to his mates.",-ed,14,ufli
A Get Well Note,"Miss Hall called the names on the class list, “Jane.” “Here!” “Quin.” “Here!” “Hope, Hope?” “She is still at home sick. She has a stuffed up nose, and a flushed face,” said Tate. Quin asked, “Can we make Hope a get well note?” Luke added, “Let’s bring Hope a stuffed dog as a get well gift.” “That is a fine plan,” said Miss Hall. “What should we write in the note?” asked Jane. The kids looked at Miss Hall for help. Miss Hall said, “To Hope. We want you to get well fast. We send you lots of hugs. We miss you. Best wishes. From, Miss Hall’s class.” Tate said, “You rocked it, Miss Hall!” The kids all missed Hope. They were pumped to send the note and gift.",-ed,12,ufli
The Best Job For Me,"I have a job selling plants, but I do not like it much. I have been thinking of looking for a job in singing and acting. I have been selling plants a long time, but it is not my calling. I want to sing and act on a stage. I do a fine job selling plants, but it does not make me glad. I could be bad at singing and acting, but I must give it a shot. I will stop wishing for what I want and make a change. The stage is calling my name.",-ing,8,ufli
Packing for the Trip,"We are going on a trip to the Gulf. Dad rented an RV for the five of us. We were all helping to pack. I was stuffing the sun hats in a bag. We would use those for our ride on the shrimp ship. Jace was looking for the rake and dip net so we could dig for clams. Kim was packing the mesh bag and sifting pans for shelling. Mom was checking the list. “We missed some stuff. Jace, bring the rods for fishing. Kim, grab the snacks for camping.” Dad came into the RV and said, “We did a nice job packing, kids. This trip will be smashing!”",-ing,12,ufli
Camping in the Grove,"“Hi! Jan! Do you want to go on a camping trip with me?” Luke asks his friend. “What do you do when you go camping?” asks Jan. “We can bring a tent to camp in, nap sacks for resting, and snacks for snacking. We can ride bikes, go swim in the lake, and look for bugs,” said Luke. “Hmm,” Jan thinks. “I like to ride bikes, but I cannot swim, and I do not like bugs. What else can we do?” “Hmm,” Luke thinks. “We can take a walk next to the lake and look for rocks not bugs.” “Yes, I like that plan,” said Jan. Let’s go camping! The two friends have a blast on the camping trip. They ride bikes and spot rocks in the tall grass. They snack on chips, then get in the nap sacks to chat and rest. When the sun sets, they get in their tents and go to bed.",Closed & Open Syllables,15,ufli
My Pet Po,"I have a cute dog. His name is Po. We met when he was one. We have been best friends since then. Po is not a fan of walks and does not like runs. If it was up to him, he would just nap all the time. It is my job to make Po go for a walk. I can get him to come when the sun is up. We walk for a bit but then he stops. He sniffs the grass and then sits. I call him but he will not come to me. He just looks up at me and smiles. I can’t help but smile back at him. He is just so cute. In fact, the sun is quite nice. I sit on the grass next to Po. We can take a walk in a bit.",Closed & Open Syllables,17,ufli
Sage and Stepmom Pack Lunch,"“Sage, would you like to bring a friend with us to the pond?” Stepmom asked. Sage said, “Yes, I will ask Jane to come.” Stepmom said, “OK, we must make a list of things to take in the backpack for lunch. Can you help me do that?” Sage said, “Yes, when I am done looking for my laptop login.” “Are you all set to help me, Sage?” asked Stepmom. “Here I am! What do you have on the list?” “I have milkshakes, hotdogs, and chips. Is there something else you would like to add?” asked Stepmom. “Jane likes cupcakes. I love drumsticks!” said Sage. Stepmom smiled and said, “I will add those things because I love you.” Sage grinned and gave Stepmom a big hug. When Sage, Jane, and Stepmom got to the pond, they ate their lunch and tossed the softball. Sometimes they stay at the pond til sunset, but this time they left at two because Jane had to get home. Sage and Jane thanked Stepmom for helping them have such a fun trip to the pond.",Compound Words,12,ufli
The Big Game,"I love softball. Once, many of my friends said they were going to the big softball game. I asked my mom to take me. My mom could not take me because she had to pick up my sis from kickball. I was upset. Then, mom made a phone call. “Your stepdad will take you to the game, my love.” I got my backpack and left for the game with my stepdad. When we got there, we went to the snack stand. My stepdad got a drumstick for himself and a hotdog for me. We walked uphill to the stands at sunset. The softball game is going. When they hit a home run, we all yelled. I felt like I hit the jackpot. My stepdad and I got a snapshot to send to mom. We had the best time at the softball game.",Compound Words,15,ufli
A Sunset Picnic,"Janet and Robin are best friends. They are planning a sunset picnic. “We can set up the picnic next to the sandbox,” said Janet. “We can pack a basket full of snacks and a big sandwich to munch on”, said Robin. Robin packs the basket with the snacks and a sandwich to split. Janet packs the drinks and a blanket. Robin adds plates. Janet adds napkins. “We are all set to have a picnic!” The friends walk to the sandbox and set up the blanket. Then, they grab the plates and napkins for the snacks. “Look at the sunset!” said Janet. The friends have fun at the picnic. “I want to do this often!”, said Robin. “That is a grand plan!”, said Janet.",Closed/Closed,14,ufli
The Game of Tennis,"Tennis is quite a fun game. It looks complex, but I can give you some tips. The game calls for a net, ball, and racket. You use the racket to hit the ball across the net. When your racket makes contact with the ball, swing fast. In a tennis contest, you must win six games to win a set. Then, you must win two sets to win it all. The game goes fast and can be a bit hectic. Do not panic, you will get the hang of it. I must admit, a rapid tennis game is fun to witness. So, grab a friend and give tennis a go!",Closed/Closed,11,ufli
Fun Moments with Noel and Keke,"Noel and Keke are done with class. The friends want to find something fun to do. Noel gives Keke a list of things they could do. Keke looks at the list. “I would like to go to the Bash and Splash! We can get a suntan and swim in the lake.” Noel nods at Keke. “Yes, Bash and Splash will be fun. I also want to do a U-Pick. We can pick lemons at Levi’s Ranch. I like a splash of fresh lemon in my drink.” Keke grins. “Yes, we can do the U-Pick. Last, I want to go to Swing Zone. The zip line is so fast!” “Okay,” said Noel, “We have to get going if we want to have time to do all of these fun things!” “Well then, let’s go!” said Keke. The friends had a blast at the Bash and Splash, the U- Pick, and the Swing Zone. They were so glad class was done so they could do these fun things!",Open/Closed,15,ufli
The Pumpkin Place,"Raven loves pumpkins. When it is Fall, Raven likes to go to The Pumpkin Place to get a pumpkin. This is where all the best pumpkins are. Raven gets in the truck and drives to The Pumpkin Place. She walks in and takes a moment to look at all the pumpkins. She sees they are lined up by size. Raven must find the best pumpkin to take home. It must be big, but not so big that she cannot pick it up. She spots one that looks nice. When she picks it up, she sees that it has a scratch on the side. “This is not my pumpkin,” she thinks. Then she spots it. The best pumpkin. She looks at it from all sides. No spots, no scratches. “This is it!” Raven yelps with pride. Raven puts the pumpkin in the truck. She stops to get a hot drink and a donut for a snack. As she munches on the donut, she thinks of where she will put her pumpkin when she gets home.",Open/Closed,19,ufli
Hide and Find,"Colt is a wild child. He likes to hide from his friends. Colt was at his old friend Keon’s home. When Keon was not looking, Colt hid behind a hutch. “Where did you go?” Keon yelled. Colt did not call back. When Keon walked past the hutch, Colt bolted and hid behind a gold desk. “Colt, I do not like this game. It’s time to stop!” Keon yelled. But Colt did not stop. He ran from the gold desk and hid in the tall hedge. Keon got a glimpse of Colt’s jacket behind the hedge. “There you are!” “Colt, I told you I do not like this game,” Keon scolds, “I do not like it when you hide or when I have to find you.” “I did not think you would be mad. I think the game is fun,” Colt said. “That is because you are a wild child and I am not,” Keon responds. Keon and Colt both felt bad. The two friends made up and switched to a game they both like.",Long VCC,17,ufli
Henry and the Sock,"Henry is a funny puppy. He is the only pet in the Tobinsky family. He does what he is told…most of the time. You see, Henry loves socks. If Henry finds a sock, he takes hold of it and will not let it go. The Tobinskys try to mind Henry all the time so he cannot snatch their socks. One day, the Tobinskys sat at the dining table to do a simple puzzle. Henry was on the rug next to the table. This was Henry’s lucky moment. At the edge of the rug, there was an old pink sock. Henry’s body wiggles and he jolts up to get the sock. All of a sudden, Poppa Tobinsky spots Henry and lifts him up with a giggle. The silly puppy did not get the sock, but he did get some belly rubs.",Ending Patterns Review,13,ufli
The Nurse Workshop,"Lenora is a nurse. She is going to a workshop to sharpen her skills. As she enters the workshop, she sees a girl in a pink shirt. That is her friend, Birdy. Lenora taps Birdy and murmurs hello. Birdy perks up. “This is superb!” she says, “I am so happy to see another friend here.” In the first part of the workshop, Lenora and Birdy take turns checking their vitals. Next, they work on mending burns. Third, they work on fixing broken bones. The girls are thrilled. “What a perfect workshop. I love being a nurse.” says Lenora. “Will I see you at the next one?” asks Birdy. “Do not worry, I would not miss it,” Lenora confirms.","er, ir, ur, w + or /er/",14,ufli
Backyard Garden,"Zury loves to work in the backyard garden with her father. There is nothing quite like it. The birds chirp under the sun and the buds are pretty in the garden. Zury has worked in the garden since she was a little girl. One of her first chores was to spend mornings in the garden. She has found that there is an art to garden work. It is not hard, but you have to be smart. Her father has a chart that tells them when to water the plants. Zury is in charge of the reports on the chart. The reports tell which part of the dirt is fine for plants and which part could use some help. Zury thinks this is the best kind of work in the world. She is happy to have a part in the garden with her father.",R-Controlled Vowels Review,12,ufli
Playing at the Arcade,"Today is Faith’s birthday. Cain has paid for them to go to the arcade. As Faith and Cain walk inside, they see a lot of different games. “I’m going to play Pac- Man! I love the theme song,” said Faith. Cain runs over to a pinball game. “This one makes clacks, dings, and pops. It’s so much fun!” he yells. Next, Faith and Cain play the crane game. Cain wants to win a stuffed animal for Faith. He sees a black and tan snail. He moves the crane back and forth, but it sways. The crane drops the snail. The first try is a fail. He has another go at it and wins! Before the kids go to lunch, they stop by the photo stand. “Your birthday is a very important day, Faith. Let’s take a photo together,” says Cain. The kids take lots of snap shots. “This has to be my best birthday ever!” said Faith. “I’m glad!” said Cain.","ai, ay /ā/",21,ufli
Jay’s Jeep,"Jay dreamed of being sixteen for a long time. When he turned sixteen, he could finally drive all by himself. In the weeks before Jay’s sixteenth birthday, his father spent time teaching him to drive. He had to keep both hands on the wheel. He had to have his seatbelt on and limit his speed. “When you drive, being safe is important above all else,” Jay’s father told him. On Jay’s sixteenth birthday, he and his father went to the car dealership. Jay saved his money for weeks and weeks. He could not wait to spend it on a car. Among the sea of cars in the lot, Jay saw a neon green Jeep. He peeked inside and held the steering wheel. He beeped the horn and beamed. “This is the one I want,” he screamed. When Jay saw the fee for the Jeep, his face fell. “This Jeep is not cheap. I need to pick another one.” “Wait,” said Jay’s father, “I will give you the extra money you need. Consider it your birthday treat.” Jay was so stunned he could not speak. He got to keep the Jeep! “Who will you take on the first ride?” asked Jay’s father. “You!” beamed Jay, “Let’s take a ride to the beach.”","ee, ea, ey /ē/",20,ufli
The Snowy Coast,"The drive to the coast was long and slow. The roadside was filled with heaps of snow. Snowflakes were still floating from the sky above. Joan groaned in the back seat. “Are we there yet?” she asked again. “Not yet. Maybe you and Rowan can play games,” said mom. Joan and Rowan start with a bubble gum blowing contest. Joan blows the bigger bubble and wins! Next, they look for things out the window. Joan sees a boat tugging coal on the water. Rowan sees a yellow train covered in snow on the long railroad. Dad asks Joan and Rowan if they saw the doe with the spotted coat eating oats by the road. “What is a doe?” asks Rowan. “A doe is a female deer” says dad. Joan leans against the window so she can see better. “That doe is thirsty, look at her drink!” says Joan. The snow keeps falling harder and faster. “When we get to the coast, we will need to unload the car quickly because it is very cold!” said Rowan. “Are we there yet?” Joan asks again.","oa, ow, oe /ō/",20,ufli
Night Light,"I have always been afraid of the dark. I do not like nighttime because it is so dark. Again and again, I find myself in a state of fright each night. I do not want to be afraid of the dark. I want to fight this fright. I go to my mother for some insight. “I am tired of being afraid of nighttime,” I cry. She sighs and pats my thigh. “What if I told you there was a way to see some light at night?” At nightfall my mother calls me over to the window. I come close to her, and she holds me tight. “I am always with you,” she says as she turns off the light. I try my best to fight the fright I feel without the light. Just then, lightning flashes in the sky above. It is so bright it seems to light up the whole world. To my delight, the lightning strikes again and again. It lights up the sky each time. I turn to my mother and smile. “Thank you for your insight. Why are moms always right?” She grins and hugs me tight. We watch the lightning until I fall asleep. When the sun comes back up, I almost miss the night.","ie, igh /ī/",21,ufli
Firewood,"Woody wanted to make a campfire in his backyard. The only problem was that he did not have any firewood. He went door to door to ask his friends if they had any firewood. One friend said, “I do not have firewood, but I could use your help. I need to remove this bush from my yard.” Woody agrees to help his friend. He pushed and pulled but the bush would not budge. Woody took a rest and looked for some tips on his phone. “I can use a hook to get rid of the bush,” Woody said as he returned to the stubborn bush. He put the hook on the trunk of the bush and pushed, pulled, and shook. It took a lot of work, but the bush gave way. Woody cut up the wood from the bush and went back to his friend’s door. “You poor thing! That was one mean fight!” said his friend. “Let me give you some money for your hard work.” Woody shook his head. “It was hard but look, I turned the bush into firewood.” Woody and his friend took the firewood to Woody’s backyard and made a big campfire.","oo, u /oo/",15,ufli
Raccoon in the Garden,"Everyone on my street loves to garden. Each Spring, there is a contest to see who has the best garden. I think my garden can win. My plants are in bloom. I have had my tools in hand and my work boots on all day for many days now. My son has even been helping me. The plants that are blooming the best are my mushrooms. Today was the day of the contest. My son and I looked at the garden from the window. My son shook my arm. “Racoon!” he yelled. I turned and there was a racoon sniffing at the mushrooms! We zoomed out the door to shoo the raccoon away before it could scoop up a mushroom. “Scoot!” I yelled. The raccoon got spooked and ran away. “Good!” said my son, “the raccoon left.” I looked at the garden. “Not good,” I grumbled, “the racoon stomped on the mushrooms.” “Stay cool. We can fix this!” my son said. He picked up a tool and removed the broken mushrooms. Then we smoothed all the dirt in place. We got the garden fixed just in time for the contest. The judge came over to look at the garden. She took a photo of the mushrooms and told us that we won!",oo /ū/,23,ufli
Dewey’s Birthday Lunch,"Dewey’s birthday is this month. His crew wants to find a new place to have a birthday lunch for him. Sue thinks they should go to the place she visited last Tuesday. It had tasty cheeseburgers. Dave thinks they should go to the place he went last Thursday. It had amazing nachos. Sue’s burger place won. On Dewey’s birthday, the whole group was ordering food and drinks. Dewey got an apple juice to start. Then he ordered a cheeseburger with a side of fruit. Sue ordered grapefruit juice and blue crab soup. Dave ordered a meaty stew. The crew chewed and chewed until the bill was due. Then the staff came with a free cake with a candle on it. The crew sang and Dewey made a wish on the candle. Happy Birthday, Dewey!","ew, ui, ue /ū/",16,ufli
The Art Contest,"Lawson loves to draw. He is self-taught, which means he has never had a formal art lesson. He has spent many hours over the last few months sharpening his raw talent. He has drawn hawks with claws, a fawn at dawn, and a racoon that he saw in his yard. Each time he draws, his skills increase. Once day, Lawson went to the art supply store to get some fresh markers for his drawings. There he saw a flyer for a drawing contest in August. The contest was to draw a family portrait. Lawson was good at drawing animals, but he had never drawn people before. He felt a bit intimidated by the contest, but he chose to be brave and enter. Next, he launched a mission to find a family to draw. He explained the contest to one of his friends. His friend offered himself and his baby son as models. This caused Lawson to leap with delight. Now he was ready to pursue the prize. Lawson had his friend hold the baby and stand on the lawn. Lawson started to draw, but then the baby bawled. “Try to sit instead,” said Lawson. They sat, but then the baby started to crawl. Lawson got the baby a ball to hold. The baby took the ball and held still. At last, Lawson could draw the family portrait. He created the perfect piece to enter the contest. Lawson hauled his drawing to the art store. The judge was thrilled with his work. Lawson won the contest, and the judge presented him with the prize.","au, aw, augh /aw/",26,ufli
The Surprise Breakfast,"On Monday, Seth headed home with a note. The class breakfast party was on Wednesday, and it was Seth’s turn to cook. His father read the note, shook his head, and began to sweat. “Today is Tuesday! I do not have time to prep! Could we swap days with someone else?” Seth looked at his father with dread. “No! I made a promise to the squad that you would cook for them on Wednesday.” His father was swamped but he did not want to let his son down. He leapt up and took a sip of water and a deep breath. “Let’s head to the shop. We have an hour to wander.” At the shop, Seth wanted to grab bread for French toast. Father said, “Squash that idea! We do not have time.” Then, Seth wanted to grab items to make waffles. “Get the frozen ones instead!” his father shouted. On their way out, they snatched some grape spread and fruit. “Waffles with grape spread and fruit on top will be healthy and easy,” said Seth. Wednesday morning Seth watched with a smile as his father cooked breakfast at dawn to feed his classmates.","ea /ĕ/, a /ŏ/",17,ufli
Delroy and Booker at Camp,"Delroy and Booker try to do all things with each other. In February they play hockey and in March they play football on the same teams. Yet, they spend every hour, even every minute waiting for June when they go to camp. For a week each year they can boycott bedtime, dig in the soil with no voice saying no, join boys in fishing boats, run races, play tag at nighttime, and more. This year their plans may be spoiled. On Monday, Delroy tells Booker that he will not be joining him at camp this June. Booker feels destroyed by Delroy’s choice. Delroy pointed to all the fun Booker would have at camp, but Booker waved away the noise of his voice. In the time leading up to June, Booker would not see Delroy once. When Booker made it to camp, no boy could change his bad mood. He sulked to his cabin and slumped on to his bunk. He looked at his nightstand and saw a note with his name on it. He opened the note. It was from Delroy! Dear Booker, I wish I could be at camp with you. I told the boys all of the fun things we do, and they promised to take my place. Have fun. I will see next month. Your friend, Delroy Booker smiled. He was glad to have such a good friend.","oi, oy /oi/",20,ufli
The Clown Show,"In February, there is a clown show downtown every Monday night. This is Scout’s favorite show in the world. His father vowed to take him each week. Scout counts down the hours and minutes until the show. When it is time to go, Scout bounces out of the house. He plows past the loud crowd and shouts when the clowns enter the outdoor stage. The first clown is dressed like a cowboy. He mounts his horse and rides around getting howls from the crowd. The next clown gives heart-shaped flowers to a clown with a frown. Somehow, the flower turns the clown’s frown upside down. At the end of the show, all the clowns are jumping around on stage. Scout’s eyes cannot focus. There are too many clowns for him to count. Scout looks at his father and makes a heart shape with his hands. His father gives him a hug. Without a word, they head back to the house. What a great night at the clown show. Scout cannot wait to go back next week!","ou, ow /ow/",18,ufli
Wadson Bakes Bread,"Wadson liked to bake. He was known for his bread. When his friends talked about his bread, they called it “the bomb!” He had a knack for kneading rolls with his knuckles. His friends could not ever stop eating his bread. They ate it as soon as he would make it and never left a crumb. Wadson worked hard to make bread for his friends. One day, as he was kneading his rolls, something felt wrong. His wrists were so sore they were almost numb. He wrung his hands thinking of what he could do. He didn’t want to stop, but he could not keep working with sore wrists. He walked back and forth, back and forth just thinking of what he could do. All of a sudden, he knew what to do! He took some note cards and pens and knelt at his desk. He wrote and wrote. He gave each of his friends a card with the steps for baking bread. Now he could rest his wrists while his friends kneaded the bread!","kn /n/, wr /r/, mb /m/",16,ufli
Art Class,"Joy and Shawn like going to art class. Miss Smith teaches them how to do many things such as sketch and paint. Today, they are going to paint animals in the snow. “First, you will sketch the foxes. Then you will use different shades of paint. Joy, can you get the brushes and paper? Shawn, can you get the paint sets and cups?” The kids pass out the art stuff and start to paint. Joy asks, “Miss Smith, how do I make it look like snow is falling?” Miss Smith answers, “You can flick your brush like this.” Shawn mixes brown and white paint to make a light brown tint. Miss Smith said, “Shawn, don’t forget to use several coats on the foxes’ fur. It will make the fur look plush and full.” At the end of class, Miss Smith says she likes the children’s art. Joy said, “We do good because you teach us well.” Miss Smith hugs the kids.",-s/-es,11,ufli
Wesley and Whitney,"Wesley and Whitney are twins who love to compete. Whitney boasts that she is two minutes older than Wesley and Wesley brags that he is one inch taller than Whitney. They compete all day. At breakfast they each tried to eat the most. “I can eat the tallest waffle stack!” Wesley said. “That waffle stack is not the tallest, mine is taller!” Whitney said. At school, the twins always peeked at each other’s papers. “My work is neater than yours!” said Whitney. “No, my work is the neatest!” shouted Wesley. During math, they both called out the answers as fast as they could. “I have the sharpest mind!” yelped Wesley. “No, my mind is sharper!” Whitney responded. Being the best was important to the twins. That is until one Wednesday in February when everything changed. Wesley and Whitney were at track practice. They both wanted to be the fastest. “On your mark, get set, go!” yelled Coach and they were off! The twins were neck and neck until a pebble flew up from the ground and hit Whitney. “My eye!” She yelled and fell down. Wesley slowed down. He looked back at his twin who was hurt. He did not want to be quicker than Whitney anymore. He helped her up and they finished the race together. The twins still like to compete, but now they know they are stronger and better when they help each other.","–er, -est",24,ufli
Nurse Kent,"Kent’s dream was to be a nurse. He wanted this job so badly. He felt like it would be the highest honor to be a nurse. Kent decided to enroll in classes. He instantly loved what they were teaching him. It was a lot of work and very costly, but he bravely kept going. He was happy to show off his newly learned skills. Kent goes to the hospital with his teacher to practice his nursing skills. It is his turn to demonstrate how to treat a sick child. He calmly walks up to the child’s bedside and puts on gloves to safely check for a fever. The child is slightly warm and has a bad rash. Kent quickly grabs some ointment and gently spreads it on the rash. Then he carefully covers the rash with gauze. Kent’s teacher is proud of his work. After many years of studying, Kent passed all of his classes and exams. He is finally a nurse! He loves his highly demanding job and could not dream of doing anything else.",–ly,17,ufli
The Unkind Rumor,"Today, Roscoe uncovered an unkind rumor about his friend, May. He wanted to find out the truth, so he went to speak to her directly. When he asked her about the rumor, May exclaimed, “That is untrue! Where in the world did you hear such an unreal statement? Be honest, Roscoe!” Roscoe was unable to uncover where he had heard this hurtful tale. “Do you truly think this about me?” asks May. “Are you spreading this around town? This makes me very unhappy!” “I did not trust what I was told. I think it is untrue,” explains Roscoe. “That’s why I came to you instead of letting the rumor spread.” May takes a breath and gives Roscoe a meaningful look. Roscoe is a true friend, and May is thankful for his honesty. Together, May and Roscoe squash this untrue rumor and unlock the truth once and for all.",un-,12,ufli
