title,story,phonics_focus,sentence_count,source,menon_hiebert_level,present_patterns,target_phonics,present_phonics_summary
The best lunch,"Mac will munch and crunch his best lunch.
When Mac has had his lunch, he rests and naps.
Cam puffs his chest and calls from the top of an old gum.
From a bench, Cam can spot his best lunch.
Inch by inch, Sim licks ants for his best lunch.
Next, Sim chills in the logs and shrubs.
Chums, Tash and Gav sit at a bench. Tash is such a chess champ!
Hot chips are the best lunch for us!",ch,9,SPELD-SA,3,"digraph, blend, r_controlled, l_controlled","consonant digraphs, consonant blends","consonant digraphs, consonant blends"
This step that step,"The sun comes up on the hill.
Nana, Pop and I huff and puff up the track.
That trunk went thud when it fell!
I must think, this step, then that step.
Nana and Pop help me get to the end of the trunk.
Moths flit this way and that. Some moths then land on a stump.
I sit still on the bank. It is a thrill to spot a frog!
We all thump, thump up the hill and get to the top.
I am hot! Nana has a damp cloth, that helps me.
All of us are glad to sit with some of Nana’s broth. Yum!",th,14,SPELD-SA,3,"digraph, blend, vowel_team, l_controlled, multisyllabic","consonant blends, consonant digraphs","consonant digraphs, consonant blends"
Pick and Pack,"Pick and pack them. Some roll in the sun.
Not this one, it has a grub stuck in it. Pick the best from the bunch.
Click and lock, the bins lift. Stack them on the flat-bed truck.
Roll them, this way and that. Flick and pick them for the shop.
Pack them in the box and ship them off to the shop.
Stack the best upon the shelf in the shop.
A crisp and fresh snack. These are the pick of the bunch.
Thanks to the shop, for the pick of the crop.",ck,13,SPELD-SA,3,"digraph, blend, vowel_team, r_controlled, multisyllabic","consonant digraphs, consonant blends","consonant digraphs, consonant blends"
When Olive runs,"This is Olive. She is our pup.
When we give her a run she jumps and tugs.
Olive stands on a plank. There are lots of things to whiff and sniff
on the track.
What can Olive smell?
She must think there is something to solve.
I let Olive delve into the long scrub.
She has a whiff and a lick.
Have a drink, Olive. Gush, whoosh!
Wham, whack! What was that? Olive whips up with a jump.
Let’s get back.
Olive is a whiz on the track. I think it’s the smell that helps her to
get back.
It’s twelve o’clock when we get back from the run.
I have some lunch and Olive has fun!",wh,19,SPELD-SA,3,"digraph, blend, final_e, vowel_team, r_controlled, multisyllabic","consonant digraphs, consonant blends, multisyllabic words","consonant digraphs, consonant blends, multisyllabic words"
Sing a spring song,"Pink buds bask in the spring sun.
Things swing and fling in the spring wind.
This stem holds strong.
Sing a song that spring has sprung.
A long stem to bring us luck. Hold it in your hand and wish.
The red blooms hang and spill from the pot.
A snack springs from the damp track.
Swift wings whip the wind to pick it up.
Buzz, flit and cling to the buds. It will sting if it must.
Can you spot it?
Pick a bunch of fresh sprigs.
These are held with a length of string for mum.",ng,14,SPELD-SA,3,"digraph, blend, vowel_team, r_controlled","consonant blends, consonant digraphs","consonant digraphs, consonant blends"
Squint in the sun,"“Get up for the trip!” sings mum. “It’s cold! Tuck me in my quilt
and I can be snug.” “Come on,” mum calls. “Get up!”
At long last the van is set up and we can rest. “Quack, quack.”
“What was that?”
“Quick, mum! A flock of ducks have come to visit us.”
Mum squints in the sun to see the ducks. My pals are quick and
swift and sprint past the bins.
Dump and run to the next thing. Where are my pals?
I am off on a quest to get them.
All my pals are on the sand! We squint in the sun. I am quick and
sprint with a bat in hand.
Next, I am in for a swim! I squish and squelch in the wet sand.
It will melt if you are not quick.
Lick, lick as the sun sets on all the fun.",q u,23,SPELD-SA,3,"digraph, blend, vowel_team, r_controlled, l_controlled, multisyllabic","consonant blends, consonant digraphs, vowel teams","consonant digraphs, consonant blends, vowel teams, l-controlled vowels"
Mitch and the itch,"Mitch lives to jump and give an itch.
A pinch on the chin, legs and back. Mitch will catch us in a damp
ditch or on the land.
Mitch is quick to jump on this chest. Pinch, pinch, such a pest to
delve in and nest.
Twitch, twitch. That must have been Mitch!
Is this a soft patch for Mitch to lay some eggs?
“A soft bed for me to rest,” Mitch thinks.
“Rich and plush for a big batch of us.”
Get up, Cali! Fetch a stick. Run! Here comes Mitch! Cali is still and
Mitch is quick.
A soft patch for Mitch to lay some eggs! The eggs hatch.
Cali will scratch and scratch.",tch,18,SPELD-SA,3,"digraph, blend, vowel_team, r_controlled, l_controlled, multisyllabic","consonant digraphs, consonant blends, r-controlled vowels","consonant digraphs, consonant blends, vowel teams, r-controlled vowels"
A trek up the track,"Mum and Nana send us on a trek up the track where
we can dig for ants.
Mum stops, “Can you spot the black ants, with strips of gold on
their backs?”
Mum clamps her hands on the long stick. “The ants are small, but
we must be strong when we dig.”
Mum has a rest on the crest of the pit.
Cram and sit in the pit. Flick and sift the sand with the long stick.
A clump of sand in the cup of her hands. Mum has the skill to get
the ants with the black and gold strips.
A quick pinch on their back. The trick is not to get a nip from the
ants.
“Thank you, mum!” I hold the ant and suck on my snack. Yum!",k c ck,14,SPELD-SA,3,"digraph, blend, vowel_team, r_controlled, l_controlled, multisyllabic","consonant blends, consonant digraphs, r-controlled vowels","consonant digraphs, consonant blends, r-controlled vowels"
Max with Mum’s list,"Max is a whiz at the shops with Mum’s list.
With a scratch and a twitch, it is a stretch to think of all the things
on the list. “A tin of fish, a whisk…what next?” Max must check
Mum’s list.
Max picks up a tin of fish and a whisk. Tick it off the list!
Max whacks some chips in on a whim. “I’d best grab a bag of rolls
from the list.” Tick!
Mum has twelve carrots on the list. Max twists their tops to get
them to fit.
“I think Mum will whip up some eggs and milk with the whisk.”
There is a tick for all the things on Mum’s list. Max did well.
Mum gives Max a big hug when he is back from the shops.
“Thanks, Max.”",w wh,17,SPELD-SA,3,"digraph, blend, r_controlled, l_controlled, multisyllabic","consonant digraphs, consonant blends, r-controlled vowels","consonant digraphs, consonant blends, r-controlled vowels"
Sant and Kale,"Sant the ant and his pal Kale the snail, play on the trail. It is a hot day.
Sant tricks Kale and hops in a tin. Will he wait long?
Sant plays next to the tap. It is a great game to stomp in the thick mud.
The pals take the train across the trail. The train is quick and the wind
whips up.
On the way, Sant spots his mate, Buzz. They stop to have a game of chase.
They are so glad for the fish and chip shop! Sant and Kale stay and
take a break for lunch.
At last, Sant and Kale sit on a rock. They have lunch in the shade.
What fun they had today!
It is getting late, so Sant and Kale sit to rest. It is a great sunset.
They make plans to play the next day.",ai ay ea a_e,18,SPELD-SA,5,"digraph, blend, final_e, vowel_team, r_controlled, l_controlled, multisyllabic","consonant blends, vowel teams, consonant digraphs","consonant digraphs, consonant blends, final-e words, vowel teams, l-controlled vowels, multisyllabic words"
Three great mates,"Sant made plans to meet his mate Spotty at the creek. He is happy, thinking
of all the fun games to play that sunny day.
Just then, Spotty popped out from a great big tree. Sant is happy to see his
mate, Spotty.
Spotty jumps in the creek. The creek is too deep for Sant the ant. Will Sant
reach Spotty? Sant can see some bark. It can carry Sant to Spotty.
Sant sings when he is happy. “My pal, Buzz-Bee, eats sweet treats.
Oh, so yummy in his tummy!” Spotty sways along to the song with glee.
“Did you say Buzz-Bee? That’s me!” It is Sant’s mate, Buzz.
“Great to see you Buzz! Please meet my mate, Spotty,” says Sant.
The team of three are messy from their fun at the creek. They need to brush
off the mud to get clean.
Buzz, Sant and Spotty eat sweet treats next to the creek.
Spotty, Buzz and Sant are three great mates. They agree to meet next week
by the great big tree.",e ea ee y,23,SPELD-SA,5,"digraph, blend, final_e, vowel_team, r_controlled, l_controlled, diphthong, multisyllabic","consonant blends, vowel teams, multisyllabic words","consonant digraphs, consonant blends, final-e words, vowel teams, r-controlled vowels, l-controlled vowels, multisyllabic words"
Sant the disco ant,"Sant is happy when he sings. His dream is to sing at the disco with his
bandmates up the road. Sant phones to ask if he can visit. They say, “Yes!”
He only needs to take a quick stroll up the road to meet his bandmates.
The song notes from the band float to Sant as he goes up the road.
Clint and Ash know that to be the best and grow, they must play the same
beat over and over.
Ned can play along when the beat is known. His bass is low. He follows the
beat well and taps his toes.
Jaz taps her tapping sticks. The song is growing and there is no way
of knowing when Sant will sing. He is waiting for his big break.
Here comes Sant, he is singing with the band. He opens his arms
and puffs out his chest. Singing is what he knows best!
The tempo is slow. Sant asks to speed up the tempo so they can play
the song at the disco.
Sant’s dream to sing at the disco is real. He is so happy to know that
he is part of the disco.",o oa ow oe o_e,20,SPELD-SA,5,"digraph, blend, final_e, vowel_team, r_controlled, l_controlled, diphthong, multisyllabic","consonant blends, consonant digraphs, vowel teams","consonant digraphs, consonant blends, final-e words, vowel teams, r-controlled vowels, l-controlled vowels, diphthongs, multisyllabic words"
Sant’s first race,"It is Sant’s first race day! He has a yellow shirt to show the team he is
running for.
Shan is running for the purple team. Her sister looks on from the stand.
The runners burst onto the track. Their feet beat the dirt of the track,
as they turn into the first bend.
The dirt kicks up and their team mates cheer. Jack and Tim run fast,
as the track turns. Tim jerks close to Jack. He works hard to be first.
Their mates clap and twirl from the stand. They can’t wait to see
who will be first. Even the birds chirp and watch from the stand!
The runners can see the finish flag. Their legs hurt, but they keep
running as fast as they can. Sant is puffing and sprinting now.
Shan is close to Sant.
Sant wins the race! It is the yellow team’s turn to take the winning cup.
Sant feels on top of the world.
Fern is Shan’s sister. She is the first to say how well she ran.
Fern was clapping for her every lap of the race",er ir or ur,23,SPELD-SA,6,"digraph, blend, final_e, vowel_team, r_controlled, diphthong, multisyllabic","r-controlled vowels, consonant blends, consonant digraphs","consonant digraphs, consonant blends, final-e words, vowel teams, r-controlled vowels, diphthongs, multisyllabic words"
Quest to the shed,"Nick and Tina grab hats for their heads and set off to see their mate, Rick.
“Rick may be resting by his tree again,” says Tina.
Rick isn’t resting when they see him. He is ready to jump and play.
Nick and Tina have taken a bag of hats. “Is there a hat that fits you Rick?”
asks Tina. “I am not meant to have a hat, but they are fun. I will have the
black and red hat,” says Rick.
When Rick pops on his red and black hat he feels ready to go on a quest.
“Where can we go on a quest?” asks Rick.
Nick and Tina chose funny hats as well. “There is an old chest kept in
the shed,” says Tina. “Can we make this our quest?” “Yes!” they all say.
Some bits of sticky bread and jam lead to the shed.
Who has dropped these bits of bread and jam?
“What could dwell in this shed?” asks Tina. “Are we meant to be here?”
asks Rick. “It’s okay, this is our sport shed,” said Nick.
They see the chest. “Let’s open the lid,” Tina says.
Sant jumps from the chest! He has been eating bread with jam spread.
It has been a great quest!",e ea ai,29,SPELD-SA,5,"digraph, blend, final_e, vowel_team, r_controlled, l_controlled, multisyllabic","consonant blends, consonant digraphs, vowel teams","consonant digraphs, consonant blends, final-e words, vowel teams, r-controlled vowels, multisyllabic words"
Lilly’s loud crowd,"Lilly steps out onto the baseball pitch. There is a murmur from the crowd
as she reaches the plate.
Sant, Spotty and Buzz have come into town to see Lilly’s team play.
The crowd is loud as they begin to cheer. Lilly swings and misses her first ball.
The pitcher frowns as she waits for the catcher to be ready. There is no sound
as the crowd holds their breath.
The ball comes again. Lilly swings at it. Whack! The ball bounds over the
players and the crowd stands up to see who will catch it.
It is Mayer who stops the ball. Lilly pounds the dirt as she runs.
She counts as she moves around to each plate.
“Throw it!” A mixed sound comes from the crowd. Some shout and some are
as silly as clowns, happily cheering their team.
Lilly slides to the ground as “Safe!” is yelled. She is not out and lucky to reach
home base.
Lilly’s friends crowd around and lift her up. They are so proud of the way she
ran and didn’t give up.",ou ow,22,SPELD-SA,7,"digraph, blend, final_e, vowel_team, r_controlled, l_controlled, diphthong, multisyllabic","consonant blends, multisyllabic words, consonant digraphs","consonant digraphs, consonant blends, final-e words, vowel teams, r-controlled vowels, l-controlled vowels, diphthongs, multisyllabic words"
Cooper and Tan-Tan,"Cooper’s best friend is his dog, TanTan. He is there when Cooper feels
happy or blue. Everyday Tan-Tan and Cooper have fun together.
“Can I get a dog chew for Tan-Tan at the shop Mum?” asks Cooper.
“Yes,” says his Mum, “you can grab me some glue and a new broom too.”
Tan-Tan and Cooper are at the shop. “You can wait here, dogs are
not allowed in. I will be back soon.” Cooper pats Tan-Tan.
At the check-out, Cooper sees Sant the ant’s dad. “I will take this broom,
some glue and a dog chew, please.” “Here you are, Cooper,” Sant’s dad
grins.
Cooper can see Tan-Tan is waiting where he left him. “You wait so well,
Tan-Tan. Here comes Spotty, Sant and Buzz. Hi crew!” says Cooper.
“Hello, Cooper and Tan-Tan,” shout the crew of friends.
“That’s a great balloon!” says Cooper. “Thanks. It’s for Nana.
We are heading to her house to see what flowers bloom in June.
Do you want to come too?” asks Sant. “Yes, please,” says Cooper.
Nana lives next to the sand dunes. “If we stand on top of the dunes,
we can just see the flowers that are in bloom,” says Spotty.
“Hello Nana, we have come to see your flowers in bloom,” Cooper says.
“These are Sturt Desert Peas. You can take some home.” Nana waves.
“Thank you, Nana!” Cooper and his friends head home.",oo ew ue u_e o,35,SPELD-SA,7,"digraph, blend, final_e, vowel_team, r_controlled, l_controlled, diphthong, multisyllabic","vowel teams, consonant blends, multisyllabic words","consonant digraphs, consonant blends, final-e words, vowel teams, r-controlled vowels, l-controlled vowels, diphthongs, multisyllabic words"
Ride a bike or fly a kite,"Nick has a bright smile on his face. He is thinking of all the things he likes to
do. What will he fly? Where will he ride?
Nick’s friend Tammy is out for a ride on her blue bike. How many friends can
she find? The sun is high in the sky and it is a great day for a ride.
Tammy is lucky to find her friends. Nick and Ivy run to catch up with her.
They feel wild and free as they fly down the street.
“It’s my turn to ride my bike.” Nick rides at the speed of light! Sant spots Nick
as he zooms down the street on his bright, red bike.
“I like the way you fly down the street on your bike, Nick. Can I fly on your kite,
high in the sky?” Sant asks. “Yes, Sant! You can take a ride on my kite.”
Nick smiles.
Sant and the Kite fly into the tree! “I will get you down, Sant”. Nick reaches
up to Sant. “I don’t mind hanging out in this tree for a while,” Sant says with
a smile.
“You can have a turn on my bike, Ivy,” Tammy offers. “I don’t know if I can,”
sighs Ivy. “You can do it if you try. I will run along by your side,” smiles Tammy.
“Thanks, Tammy. You are very kind,” says Ivy.
Nick and Sant see Ivy on Tammy’s bike. “You can do it, Ivy!” Nick and Sant
call. “That’s right, hang on tight and keep your eye on where you want to go.”
“I can ride a bike!” Ivy squeals with pride.",i ie y i_e igh,35,SPELD-SA,5,"digraph, blend, final_e, vowel_team, r_controlled, l_controlled, diphthong, multisyllabic","consonant blends, vowel teams, consonant digraphs","consonant digraphs, consonant blends, final-e words, vowel teams, r-controlled vowels, l-controlled vowels, diphthongs, multisyllabic words"
Camping in the bush,"Pam is camping in the bush with her family. The tent is up and now it’s time
to have some fun. “Would you like to play a game of hide and seek?”
Pam asks her brother Zak.
“Yes Pam, I will count with my buddy Sant,” Zak yells. “Ready or not, here we
come! Now, where could she be? There are lots of spots to hide in the bush,
Pam could be anywhere!”
“I found you! That was too quick.” Zak chuckles. “Let’s go and find Tig.
I think he is napping down by the brook,” Pam says.
Tig has put himself by the fire for a cozy nap. “Should we wake him?
He looks so happy, we shouldn’t wake him,” Zak says quietly.
“What shall we cook for dinner?” asks Dad. “Fill the pot with all sorts
of veggies and a chook,” says Pam. “Yum, it smells good!” says Dad.
The tent shook in the wind that night. Sant and the siblings couldn’t hear it,
they were giggling.
“Can you hear a ‘chirp’ and a ‘woof’? Tig must be barking at the birds again,”
Pam says. “Would you be quiet Tig!” yells Zak.
They read a good book and have a full tummy of food.
Now they are all quietly sleeping.",oo u oul,29,SPELD-SA,5,"digraph, blend, final_e, vowel_team, r_controlled, l_controlled, diphthong, multisyllabic","consonant digraphs, consonant blends, multisyllabic words","consonant digraphs, consonant blends, final-e words, vowel teams, r-controlled vowels, l-controlled vowels, diphthongs, multisyllabic words"
A day with Doug,"Sant is visiting his cousin Doug. “It’s been a long time, Sant, have you been
keeping out of trouble?” smiles Doug. “I think so, Doug. Can you show me
around your town?” asks Sant.
“Here come brothers, Jon and Lea, they love to drive. Quick, jump up on their
car, Sant. You never know where they are heading next. They are double trou-
ble, like us,” Doug giggles.
Jon and Lea drop the cousins off at the trucks. Doug helps to drive the forklift.
He jumps up on the seat and lifts the heavy crates high above the ground.
The crates can weigh a ton.
Sant is in luck and jumps up on the crate for a nap. He dreams of a yummy
honey treat. “It’s no time for sleeping, Sant. Wake up or I will come up and give
you a shove!” yells Doug. Sant wakes with a jump!
“I want to show you the school,” says Doug. “This is Mr Young, he is one of the
teachers. Mr Young was in the School Fun Run and he won!”
“The kids love it when Mr Young takes them outside to run and jump. They are
lucky to have a teacher who is lots of fun,” Says Doug.
“Look Sant, here is Ann and Nat playing chase. Ann is chasing Nat. Ann can
touch Nat’s arm and then she sits down. Nat is stuck and counts to ten, then
she can run again,” explains Doug.
At the end of their big day, they see Nana. “Hello Doug and Sant! Come and
sit by the fire. Have you been looking after each other?” asks Nana. “Yes, Nana.
Doug has shown me all over the town!” Sant beams.",u ou o,37,SPELD-SA,5,"digraph, blend, final_e, vowel_team, r_controlled, l_controlled, diphthong, multisyllabic","consonant blends, multisyllabic words, consonant digraphs","consonant digraphs, consonant blends, final-e words, vowel teams, r-controlled vowels, diphthongs, multisyllabic words"
Spotty’s birthday,"It is the day of Spotty’s birthday party! Spotty is excited, waiting for his friends to
come to his house and celebrate.
Buzz, Sant and Doug arrive. Spotty has lots of games planned. “Hello, it’s good to
see you all,” Spotty beams. “Put on a fancy party hat and get ready for the fun!”
The pals rush onto the grass to start bowling. Sant is ready. He runs, jumps and
with a quick bounce, he rolls the ball. STRIKE! All the pins are down.
“Listen,” Buzz whispers, “Spotty’s mum is calling us back for snacks.”
They run back to find Spotty’s mum with sweet honey treats laid out.
“What else is there to play Spotty?” asks Doug. “Pass the parcel is the next game”,
Spotty says. Inside each layer is a toy mouse. Sant lets out a playful squeal.
“Dance and Freeze is a fun party game,” says Doug as he starts to bounce.
“Yes!” Spotty jumps up. “Let’s dance. Listen and try to stop when the song stops.”
Everyone lines up and gets ready to play pin the tail on Spotty. “Press the tail onto
the poster. Try not to miss,” Spotty explains. Buzz steps up. This is her chance to try
and she is spot on!
It’s time to go and Spotty’s mum is happy to pass the party bags around to the
pals. “Thanks for coming,” smiles Spotty. “Thanks, Spotty. It was a great party,”
Spotty’s friends chime.",s ss st c ce se,32,SPELD-SA,7,"digraph, blend, final_e, vowel_team, r_controlled, l_controlled, diphthong, multisyllabic","consonant blends, multisyllabic words, vowel teams","consonant digraphs, consonant blends, final-e words, vowel teams, r-controlled vowels, l-controlled vowels, diphthongs, multisyllabic words"
Little legs on the hill,"Ned the numbat huffs and puffs up the big hill. Will his little legs carry him all the
way to the top? Sant the ant sits on Ned’s back. It is a good way to travel up the
hill.
At the top, Ned sits to have a rest. They can see a long way from the top of the hill.
Sant has a towel to wipe Ned’s brow. Ned looks back to see if his mate Wilbur the
wombat is following him.
Wilbur plods up the big hill. He hopes to catch up to Ned and Sant soon.
Wilbur’s little legs move at double speed to reach the top.
Ned and Sant are glad to finally see Wilbur scramble to the top of the hill.
Wilbur smiles to his friends as he looks out to the vast landscape. It is rocky with
lots of rubble beneath their feet.
Uncle Len struggles up the hill. He can remember a time when he was young and
limber. Gone are the days he could quickly bound up the hill.
Ned, Wilbur, Sant and Uncle Len are glad to reach the top of the hill. From a
distance they can hear giggles and little feet moving quickly up the big hill and
over the rubble.
Twins, Wanita and Zack bound to the top of the hill with a big smile. If there was
a medal for running fast, they would be the winners. They follow Uncle Len to the
top.
Everyone agrees, the prize to reach the top of the big hill is to look out across the
land. The air smells fresh. The leaves on the trees gently rustle in the breeze.
This will be a place to visit again.",I ll al el le,26,SPELD-SA,6,"digraph, blend, final_e, vowel_team, r_controlled, l_controlled, diphthong, multisyllabic","multisyllabic words, consonant blends, vowel teams","consonant digraphs, consonant blends, final-e words, vowel teams, r-controlled vowels, l-controlled vowels, diphthongs, multisyllabic words"
A warm autumn day,"It is a warm autumn day at the water hole. The water is still and everything is quiet.
This morning, Spotty is laying in the sun on a warm rock. He can hear the distant,
playful call of boys heading his way.
Wilfred, Gavin and Brad decide to walk to the water hole to cool off. Brad finds a
rope hanging from a tree. He will use it to fly into the middle. Gavin jumps in.
“Look out, here I come!” he warns.
Brad hauls on the rope and swings across the water. He holds on and looks down
for a good place to fall. He stalls, but there is no going back. He has to let go!
Brad falls with a great big SPLASH! He can feel the cool water and starts to relax.
The splash causes the water to ripple and move a log closer to the middle of the
water hole.
Spotty sees Brad’s brave entry into the water hole. He jumps in and calls out to
Brad, “This log would make a good boat!” They clamber onto the floating log and
Spotty sprawls back, catching the warm autumn sun.
I think I could have a go at balancing on the log,” Gavin calls. “Steady as you go.
Make small movements to get on, or you may cause the log to roll,”
Spotty explains. The boys giggle and try sitting tall to keep good balance.
Wilfred begins to taunt his friends. “I don’t think you can stay on the log. It’s going
to roll!” Brad and Gavin feel the log roll to one side and know that they will fall.
SPLASH! “Let’s play water wars,” announces Gavin. They begin to splash each
other.
Wilfred uses the log to flip from, while Brad and Gavin hold it steady. Spotty can
feel a yawn coming on. He is ready for another nap in the warm sun. The boys talk
about how wonderful it is to play at the water hole. Maybe next time they can
make a fort close by and stay all day.",or aw a ar au al,36,SPELD-SA,6,"digraph, blend, final_e, vowel_team, r_controlled, l_controlled, diphthong, multisyllabic","multisyllabic words, consonant blends, vowel teams","consonant digraphs, consonant blends, final-e words, vowel teams, r-controlled vowels, l-controlled vowels, diphthongs, multisyllabic words"
Hands in the air,"Zack and Kev meet to shoot some hoops at the local school. It is fair to say they
both have a natural flair for the game.
Kev is quick and his feet dance across the goal circle. Zack wants the ball and
glares at Kev. Where will Zack dart next? Kev’s stare has put Zack off his game.
Kev steals the ball from Zack. He dribbles it away and jumps high into the air.
Can he reach all the way up there? The wind whips his hair as he leaps.
Kev lands calling, “Yes!” The goal feels great.
Zack chases the ball down, turns, squares up to the ring and shoots. He stops and
bounces the ball twice. He takes in a deep breath to push the ball up and in the
hoop. Zack and Kev stare as the ball drops in.
Zack and Kev make a great pair. They play on the same team and love to play
offence. They are working on being fair and taking turns to share the ball.
“Where is that beat coming from?” Zack questions. “I can hear it too. It’s coming
from over there,” says Kev. “I swear that sounds like Dan.” “Do we dare follow the
melody to find out?” asks Zack.
“Hi friends, my name is Dan. I am the king of hip hop! Can you hear the melody
blare from my speakers? By my bright green van you can hear my hip hop flair,”
Dan sings in the street.
“One show only, with my mates Buzz, Sant and Spotty,” Dan raps. “We want to
show that we care. It is our hope that you treat each other fair. To share is to show
that you care. Everybody, put your hands in the air!”",air are ear ere,36,SPELD-SA,6,"digraph, blend, final_e, vowel_team, r_controlled, l_controlled, diphthong, multisyllabic","vowel teams, consonant digraphs, consonant blends","consonant digraphs, consonant blends, final-e words, vowel teams, r-controlled vowels, l-controlled vowels, diphthongs, multisyllabic words"
Let’s unite!,"Jennifer and Cooper were unimpressed at recess time. Their class mates had made
a huge mess and rubbish was strewn across the playground. They knew that
something had to change.
“What are we going to do? It is sad to see our playground in such a mess.
Don’t they value our tidy school?” says an upset Cooper. “This isn’t worth a feud.
We must find a way to unite and keep our playground tidy,” says Jennifer.
“Did you say, unite?” Sant has come to help. “Hi, Sant. You are right on cue.
We can’t use our playground with all this strewn rubbish.”
“I am happy to help, but I feel sad that people refuse to use the bin,” Sant shares
his feelings. “Let’s use tongs to pick up the rubbish,” says Jennifer. “We are few.
We need many hands to help,” added Cooper. “Let’s spread the news to help clean
up.”
Jennifer and Cooper make posters to spread the news about putting litter in the
bin. “If we unite and work together, our school grounds will be as good as new.
The recess bell is due to ring soon. Who is with us?” Jennifer calls.
“It is good to hear no one argue,” Sant notes. “Everyone seems happy to help.”
“It feels good to unite for a common cause. Thanks for chipping in. You are all a
huge help,” Jennifer smiles.
It is a great outcome. “All those who helped now value our tidy school,” Cooper
says happily, “I knew you could do it!” Sant beams. “Look what you can do when
you spread the news and unite as a team.”
Jennifer and Cooper decide it is time to play. Sant is right. Their playground is now
as good as new. It is a huge difference to walk through their tidy school.
They smile, knowing they make a great duo.",ue we u u_e,38,SPELD-SA,7,"digraph, blend, final_e, vowel_team, r_controlled, l_controlled, diphthong, multisyllabic","multisyllabic words, vowel teams, consonant blends","consonant digraphs, consonant blends, final-e words, vowel teams, r-controlled vowels, l-controlled vowels, diphthongs, multisyllabic words"
Avoid sharp rocks,"Tom drives a truck for work and enjoys the company of his dog, Harry, sitting
beside him. They deliver farm goods to loyal customers. Today they are dropping
off a bale of hay to farmer Roy.
Tom drives over a sharp rock in the road. It makes a big noise. “Oh no, not a flat
tyre!” Tom groans. “Well boy, we will have to deploy the spare tyre.”
“We don’t have much choice. We will have to fix this. Our first step is to make the
truck safe and pull on the handbrake. Join me outside the truck, Harry.” Tom finds
the spare wheel and tools.
“We need to loosen the wheel, jack up the truck, hoist the tyre off and place it on
the ground. Next, we need to slide the spare wheel onto the hub bolts and tighten
the nuts.” Just as well Harry likes to listen to Tom’s voice.
Tom is about to lower the truck when he notices something moist. “Hang on a tick.
The ground is moist under here.” Tom is worried. “This isn’t good. We have a loose
coil and an oil leak,“ says Tom.
Doug is out driving his new tow truck with his cousin Sant. He sees Tom on the side
of the road in turmoil and stops to help. “Boy, am I glad to see you! We are not
having much joy today,” Tom calls to Sant and Doug.
“An oil leak and a flat tyre! We will tow your truck away for repairs,” says Doug.
“I wish I was able to avoid that sharp rock,” Tom replies. “I can see your point.
How annoying!” Doug exclaims.
Farmer Roy is out driving his ute. “I’m sorry to spoil your day,” Tom calls to Roy.
“My truck has been towed away. I can’t deliver your hay.” “Bad luck about your
truck Tom. I’m just glad you’re okay. I would still employ you any day.”",oi oy,40,SPELD-SA,7,"digraph, blend, final_e, vowel_team, r_controlled, l_controlled, diphthong, multisyllabic","consonant blends, multisyllabic words, diphthongs","consonant digraphs, consonant blends, final-e words, vowel teams, r-controlled vowels, l-controlled vowels, diphthongs, multisyllabic words"
Sant’s blast off,"The Year 4 teacher, Mr Arthur, is keen to share a science experiment with his class.
The boys have been asking for a while to make rockets. “I can’t wait to see how far
it can blast into the sky,” Paul says.
“There are a few steps to follow. First, fill your bottle past the halfway mark.
Next, place a fizzy tablet into the bottle and make sure the lid is on tight. Please
ask if you get stuck.” Mr Arthur enjoys explaining science tasks.
“Hi, class! I hear you are making rockets. Can I hop on one of your bottle rockets
and visit the stars?” Sant asks. “Yes, Sant! You need to keep calm when the rocket
takes off,” says Paul.
The final step is to turn the bottle upside down in the jar. “Are you ready to be the
first ant in space, Sant?” Max laughs. “I’m rather excited as I don’t know what to
expect, but let’s start the countdown.” Sant sits on the bottle rocket.
Sant grasps hold of the bottle as it darts into the sky. The class cheer for Sant.
They all stand in wonder thinking how far it will reach.
Sant closes his eyes to pretend his rocket has blasted all the way to the stars.
He imagines setting a path to Mars to become the first ant to step onto the red
planet. In reality, Sant has just passed over the top of the boys’ heads.
“What causes the bottle to launch, Mr Arthur?” asks Paul. “It all starts with the fizzy
tablet which fills the bottle with gas. The gas escapes and the lid pops open.
Water is pushed down and out of the bottle, causing it to blast off,” Mr Arthur
explains.
The class welcomes Sant back as he lands on the table. “You are the master at
riding the bottle rocket, Sant,” Mr Arthur smiles. “Next time, we can partner up and
test to see whose rocket goes the furthest.”",ar a al au,34,SPELD-SA,6,"digraph, blend, final_e, vowel_team, r_controlled, l_controlled, diphthong, multisyllabic","multisyllabic words, consonant blends, consonant digraphs","consonant digraphs, consonant blends, final-e words, vowel teams, r-controlled vowels, l-controlled vowels, diphthongs, multisyllabic words"
