model,prompt_id,generation_id,seed,target_phonics,decodability_compliance,weighted_above_level_rate,target_satisfaction_rate,full_spec_pass,phonics_leakage,word_count,subjective_total,narrative_completeness_score,coherence_score,decodability_adherence_score,target_phonics_pattern_emphasis_score,overall_spec_adherence_score,unique_word_count,permitted_ceiling_stage,permitted_ceiling_label,above_level_rate,distinct_above_level_rate,distinct_decodability_compliance,on_or_below_level_rate,above_level_word_occurrences,above_level_distinct_words,mean_above_level_distance,max_above_level_distance,above_level_words,targets_requested,targets_passed,targets_passed_list,targets_failed_list,phonics_leakage_terms,has_title,detected_title,short_vowel_distinct_count,short_vowel_words,blend_distinct_count,blend_words,digraph_distinct_count,digraph_words,final_e_distinct_count,final_e_words,vowel_team_distinct_count,vowel_team_words,r_controlled_distinct_count,r_controlled_words,diphthong_distinct_count,diphthong_words,multisyllabic_distinct_count,multisyllabic_words,consonant_blends_distinct_count,consonant_digraphs_distinct_count,diphthongs_distinct_count,final_e_words_distinct_count,multisyllabic_words_distinct_count,r_controlled_vowels_distinct_count,short_vowel_words_distinct_count,target_distinct__blend,target_distinct__digraph,target_pass__blend,target_pass__digraph,vowel_teams_distinct_count,judge_provider,judge_model,narrative_completeness_justification,coherence_justification,decodability_adherence_justification,target_phonics_pattern_emphasis_justification,overall_spec_adherence_justification,raw_judge_json
tuned,multisyllabic_vowel_teams_r_controlled_1,2,1002,"multisyllabic words, vowel teams, r-controlled vowels",1.0,0.0,1.0,1,0,77,6,1,2,2,0,1,54,7,multisyllabic words,0.0,0.0,1.0,1.0,0,0,0.0,0,,3,3,"multisyllabic words, vowel teams, r-controlled vowels",,,1,The Farmhouse,14,"at, big, dad, fell, get, got, had, it, kids, log, mom, on, run, up",6,"around, flew, playing, pond, sleep, went",7,"back, chicken, duck, ducks, playing, shed, when",5,"came, farmhouse, home, made, wide",11,"asleep, coop, feed, flew, hay, looked, near, night, pie, playing, sleep",6,"around, barn, farmhouse, for, near, yard",3,"around, farmhouse, out",7,"around, asleep, chicken, farmhouse, pancakes, playing, title",6,7,3,5,7,6,14,,,,,11,truefoundry,openai-group/gpt-4.1,"The story has a beginning, middle, and end, but transitions are weak and the ending is abrupt.",The story is easy to follow and internally consistent.,All vocabulary stays within or below the requested phonics progression.,"The story rarely uses multisyllabic words, vowel teams, or r-controlled vowels, missing the requested emphasis.","While the story is coherent and decodable, it lacks sufficient practice of the target phonics patterns and has a weak narrative structure.","{""narrative_completeness"": {""score"": 1, ""justification"": ""The story has a beginning, middle, and end, but transitions are weak and the ending is abrupt.""}, ""coherence"": {""score"": 2, ""justification"": ""The story is easy to follow and internally consistent.""}, ""decodability_adherence"": {""score"": 2, ""justification"": ""All vocabulary stays within or below the requested phonics progression.""}, ""target_phonics_pattern_emphasis"": {""score"": 0, ""justification"": ""The story rarely uses multisyllabic words, vowel teams, or r-controlled vowels, missing the requested emphasis.""}, ""overall_spec_adherence"": {""score"": 1, ""justification"": ""While the story is coherent and decodable, it lacks sufficient practice of the target phonics patterns and has a weak narrative structure.""}}"
base,multisyllabic_vowel_teams_r_controlled_1,3,1003,"multisyllabic words, vowel teams, r-controlled vowels",1.0,0.0,1.0,1,0,138,6,2,2,0,1,1,102,7,multisyllabic words,0.0,0.0,1.0,1.0,0,0,0.0,0,,3,3,"multisyllabic words, vowel teams, r-controlled vowels",,,1,The Forest's Whisper,17,"an, as, at, big, but, did, fell, full, he, in, lived, map, moss, named, next, so, tim",20,"and, bridge, creature, felt, find, forest, found, giant, growing, just, old, plant, pond, small, squirrel, stone, strange, tree, trees, world",19,"along, growing, leading, morning, others, path, revealing, saying, shape, something, songs, strange, such, than, then, things, whisper, with, young",7,"before, creature, made, more, shape, stone, voice",19,"creature, day, deep, heard, knew, leading, leaf, learned, look, new, oak, raccoon, revealing, saying, see, squirrel, tree, trees, wood",16,"before, carefully, creature, curious, ever, forest, heard, learned, more, morning, others, river, squirrel, under, whisper, world",9,"about, curious, found, growing, how, now, saw, voice, young",32,"about, along, animal, before, carefully, creature, curious, even, ever, forest, giant, growing, happy, hidden, hummed, into, leading, listen, many, morning, noticed, others, raccoon, revealing, river, saying, something, squirrel, under, unusual, water, whisper",20,19,9,7,32,16,17,,,,,19,truefoundry,openai-group/gpt-4.1,"The story has a clear beginning (Tim in the forest), middle (discovery and adventure), and ending (Tim learns something new).","The story is easy to follow and internally consistent, with logical progression from discovery to exploration and learning.","The story contains many above-level words and patterns (e.g., 'curious,' 'unusual,' 'creature,' 'revealing,' 'carefully,' 'discovery,' 'adventure'), which are not decodable at the requested phonics progression.","There are a few multisyllabic words and some r-controlled vowels, but vowel teams are rare and the target patterns are not emphasized throughout.","While the story is complete and coherent, it does not adhere to decodability requirements or sufficiently emphasize the requested phonics patterns.","{""narrative_completeness"": {""score"": 2, ""justification"": ""The story has a clear beginning (Tim in the forest), middle (discovery and adventure), and ending (Tim learns something new).""}, ""coherence"": {""score"": 2, ""justification"": ""The story is easy to follow and internally consistent, with logical progression from discovery to exploration and learning.""}, ""decodability_adherence"": {""score"": 0, ""justification"": ""The story contains many above-level words and patterns (e.g., 'curious,' 'unusual,' 'creature,' 'revealing,' 'carefully,' 'discovery,' 'adventure'), which are not decodable at the requested phonics progression.""}, ""target_phonics_pattern_emphasis"": {""score"": 1, ""justification"": ""There are a few multisyllabic words and some r-controlled vowels, but vowel teams are rare and the target patterns are not emphasized throughout.""}, ""overall_spec_adherence"": {""score"": 1, ""justification"": ""While the story is complete and coherent, it does not adhere to decodability requirements or sufficiently emphasize the requested phonics patterns.""}}"
tuned,multisyllabic_vowel_teams_r_controlled_1,3,1003,"multisyllabic words, vowel teams, r-controlled vowels",1.0,0.0,1.0,1,0,76,1,0,0,1,0,0,56,7,multisyllabic words,0.0,0.0,1.0,1.0,0,0,0.0,0,,3,3,"multisyllabic words, vowel teams, r-controlled vowels",,,1,A Family on the Farm,21,"am, at, be, but, can, dad, did, dogs, go, his, i, if, is, kids, mom, not, on, ran, run, up, will",2,"and, grandparent",9,"back, children, going, reading, them, this, when, while, with",2,"home, while",4,"hear, news, reading, week",5,"barn, farm, forget, grandparent, hear",3,"about, going, out",9,"about, children, family, forget, going, grandparent, reading, title, visit",2,9,3,2,9,5,21,,,,,4,truefoundry,openai-group/gpt-4.1,"The story lacks a clear beginning, middle, and ending, and feels disjointed and incomplete.","The story is confusing, with unclear actions and relationships between events and characters.","Most vocabulary stays within the requested phonics progression, but some words like 'news' and 'forget' are above the target level.","There is minimal use of multisyllabic words, vowel teams, or r-controlled vowels, with almost no repetition or emphasis.","The story fails to meet the behavior specification due to lack of narrative completeness, coherence, and target phonics emphasis.","{""narrative_completeness"": {""score"": 0, ""justification"": ""The story lacks a clear beginning, middle, and ending, and feels disjointed and incomplete.""}, ""coherence"": {""score"": 0, ""justification"": ""The story is confusing, with unclear actions and relationships between events and characters.""}, ""decodability_adherence"": {""score"": 1, ""justification"": ""Most vocabulary stays within the requested phonics progression, but some words like 'news' and 'forget' are above the target level.""}, ""target_phonics_pattern_emphasis"": {""score"": 0, ""justification"": ""There is minimal use of multisyllabic words, vowel teams, or r-controlled vowels, with almost no repetition or emphasis.""}, ""overall_spec_adherence"": {""score"": 0, ""justification"": ""The story fails to meet the behavior specification due to lack of narrative completeness, coherence, and target phonics emphasis.""}}"
base,r_controlled_blends_1,1,1001,"r-controlled vowels, consonant blends",0.7053,0.5474,1.0,1,1,190,0,0,0,0,0,0,110,5,r-controlled vowels,0.2947,0.3818,0.6182,0.7053,56,42,1.8571,2,"about, adventure, another, between, blending, carefully, colors, combination, consonant, contained, controlled, curious, different, discovered, finally, forest, found, happy, hidden, how, included, including, inside, learning, letter, letters, listened, little, owl, pattern, pronounced, returned, sammy, saw, showed, something, sound, squirrel, stories, together, treasure, vowel",2,2,"r-controlled vowels, consonant blends",,"consonant blend, r-controlled",1,The Happy Forest Adventure,21,"but, f, full, had, he, his, in, is, it, l, lot, m, map, n, named, on, own, p, r, t, u",24,"and, blend, blending, consonant, different, find, forest, found, old, pl, plant, pronounced, soft, sound, spell, spelled, squirrel, still, stories, strange, told, treasure, tree, trunk",15,"another, back, blending, each, including, learning, shapes, showed, something, strange, then, this, together, which, with",9,"adventure, gave, home, inside, like, made, time, treasure, wise",13,"between, contained, day, each, leaf, learned, learning, leaves, new, squirrel, stories, treasure, tree",22,"adventure, another, carefully, colors, curious, different, discovered, farm, forest, form, learned, learning, letter, letters, pattern, returned, squirrel, stories, together, treasure, turn, word",10,"about, curious, found, how, owl, pronounced, saw, showed, sound, vowel",36,"about, adventure, another, between, blending, carefully, colors, combination, consonant, contained, controlled, curious, different, discovered, finally, forest, happy, hidden, included, including, inside, learning, letter, letters, listened, little, pattern, pronounced, returned, sammy, something, squirrel, stories, together, treasure, vowel",24,15,10,9,36,22,21,24,,1,,13,truefoundry,openai-group/gpt-4.1,"The story is fragmented, interrupted by explicit phonics explanations, and lacks a coherent narrative arc with a clear beginning, middle, and end.","The story is confusing and inconsistent, mixing narrative with direct phonics instruction and incorrect explanations of word structure.","The passage includes advanced vocabulary and spelling patterns (e.g., 'curious', 'discovered', 'included', 'combination', 'pronounced') far above the requested phonics progression.","Target phonics patterns are not practiced in context but are instead discussed explicitly, which is inappropriate for a decodable passage.","The story fails to function as a decodable passage, does not practice the target patterns in context, and does not meet the behavior specification.","{""narrative_completeness"": {""score"": 0, ""justification"": ""The story is fragmented, interrupted by explicit phonics explanations, and lacks a coherent narrative arc with a clear beginning, middle, and end.""}, ""coherence"": {""score"": 0, ""justification"": ""The story is confusing and inconsistent, mixing narrative with direct phonics instruction and incorrect explanations of word structure.""}, ""decodability_adherence"": {""score"": 0, ""justification"": ""The passage includes advanced vocabulary and spelling patterns (e.g., 'curious', 'discovered', 'included', 'combination', 'pronounced') far above the requested phonics progression.""}, ""target_phonics_pattern_emphasis"": {""score"": 0, ""justification"": ""Target phonics patterns are not practiced in context but are instead discussed explicitly, which is inappropriate for a decodable passage.""}, ""overall_spec_adherence"": {""score"": 0, ""justification"": ""The story fails to function as a decodable passage, does not practice the target patterns in context, and does not meet the behavior specification.""}}"
tuned,r_controlled_blends_1,1,1001,"r-controlled vowels, consonant blends",0.8636,0.2727,1.0,1,0,88,2,1,1,0,0,0,65,5,r-controlled vowels,0.1364,0.1538,0.8462,0.8636,12,10,2.0,2,"bedtime, before, children, farmer, farmhouse, father, happy, homework, promise, title",2,2,"r-controlled vowels, consonant blends",,,1,The Farmhouse,24,"be, can, dad, did, go, has, he, his, i, if, is, it, kids, likes, max, me, mess, mom, my, named, not, on, up, will",6,"best, help, must, play, promise, went",8,"children, father, long, lunch, then, think, this, wish",6,"bedtime, before, farmhouse, home, promise, time",4,"day, homework, knew, play",7,"before, farmer, farmhouse, father, for, homework, yard",1,farmhouse,10,"bedtime, before, children, farmer, farmhouse, father, happy, homework, promise, title",6,8,1,6,10,7,24,6,,1,,4,truefoundry,openai-group/gpt-4.1,"The story has a beginning, middle, and end, but transitions are weak and the ending is abrupt and confusing.","The story is mostly understandable but contains confusing elements, such as the father's statement about going home despite being at the farmhouse.","The story includes many words above the requested phonics level, such as 'children,' 'before,' 'knew,' 'promise,' and 'homework,' which are not decodable at the r-controlled vowels and consonant blends stage.","There are very few words with r-controlled vowels or consonant blends, so the target patterns are not sufficiently practiced.","The story fails to adhere to the decodability and target phonics emphasis requirements, making it inappropriate as a decodable passage for the specified progression.","{""narrative_completeness"": {""score"": 1, ""justification"": ""The story has a beginning, middle, and end, but transitions are weak and the ending is abrupt and confusing.""}, ""coherence"": {""score"": 1, ""justification"": ""The story is mostly understandable but contains confusing elements, such as the father's statement about going home despite being at the farmhouse.""}, ""decodability_adherence"": {""score"": 0, ""justification"": ""The story includes many words above the requested phonics level, such as 'children,' 'before,' 'knew,' 'promise,' and 'homework,' which are not decodable at the r-controlled vowels and consonant blends stage.""}, ""target_phonics_pattern_emphasis"": {""score"": 0, ""justification"": ""There are very few words with r-controlled vowels or consonant blends, so the target patterns are not sufficiently practiced.""}, ""overall_spec_adherence"": {""score"": 0, ""justification"": ""The story fails to adhere to the decodability and target phonics emphasis requirements, making it inappropriate as a decodable passage for the specified progression.""}}"
base,r_controlled_blends_1,2,1002,"r-controlled vowels, consonant blends",0.6893,0.5534,1.0,1,1,206,1,1,0,0,0,0,130,5,r-controlled vowels,0.3107,0.3615,0.6385,0.6893,64,47,1.7812,2,"about, adventures, after, also, always, animal, animals, another, around, boy, carefully, controlled, curious, exciting, forest, getting, group, growing, happy, hours, how, interested, interesting, known, listening, little, maybe, moving, nature, nearby, noticed, now, often, out, really, saw, showed, sitting, sound, squirrel, stories, suddenly, timmy, tired, together, vowels, watching",2,2,"r-controlled vowels, consonant blends",,r-controlled,1,The Forest Hunt,23,"as, big, but, finds, full, games, had, has, he, him, his, in, is, it, its, lived, loves, moved, named, next, on, r, red",27,"and, around, black, blue, felt, forest, friends, group, growing, hunt, just, old, plants, played, print, small, soft, sound, spent, squirrel, sticks, still, stopped, stories, strange, tree, world",23,"another, back, black, bush, exciting, getting, growing, interesting, listening, long, moving, showed, sitting, sticks, strange, that, then, think, this, together, watching, when, while",6,"like, made, more, nature, nose, while",18,"always, bear, blue, day, friends, goes, heard, heart, leaves, looked, maybe, nearby, new, played, really, squirrel, stories, tree",26,"adventures, after, another, around, bear, carefully, corn, curious, for, forest, heard, heart, hours, interested, interesting, more, nature, nearby, or, squirrel, stories, tired, together, turn, work, world",15,"about, around, boy, curious, group, growing, hours, how, known, now, out, saw, showed, sound, vowels",36,"about, adventures, after, also, always, animal, animals, another, around, carefully, controlled, curious, exciting, forest, getting, growing, happy, interested, interesting, listening, little, maybe, moving, nature, nearby, noticed, often, really, sitting, squirrel, stories, suddenly, timmy, tired, together, watching",27,23,15,6,36,26,23,27,,1,,18,truefoundry,openai-group/gpt-4.1,"The story has a beginning, middle, and end, but transitions are weak and the ending is abrupt and somewhat unclear.","The story is confusing, contains irrelevant meta-commentary about phonics, and ends with a corrupted character, making it hard to follow.","The story uses many words and spelling patterns above the r-controlled vowels and consonant blends level, such as 'curious,' 'nature,' 'interested,' and 'adventures.'","Target patterns are rarely practiced, and the story even explicitly references phonics instruction rather than using the patterns naturally.","The story fails to adhere to the behavior specification due to above-level vocabulary, lack of target pattern emphasis, and coherence issues.","{""narrative_completeness"": {""score"": 1, ""justification"": ""The story has a beginning, middle, and end, but transitions are weak and the ending is abrupt and somewhat unclear.""}, ""coherence"": {""score"": 0, ""justification"": ""The story is confusing, contains irrelevant meta-commentary about phonics, and ends with a corrupted character, making it hard to follow.""}, ""decodability_adherence"": {""score"": 0, ""justification"": ""The story uses many words and spelling patterns above the r-controlled vowels and consonant blends level, such as 'curious,' 'nature,' 'interested,' and 'adventures.'""}, ""target_phonics_pattern_emphasis"": {""score"": 0, ""justification"": ""Target patterns are rarely practiced, and the story even explicitly references phonics instruction rather than using the patterns naturally.""}, ""overall_spec_adherence"": {""score"": 0, ""justification"": ""The story fails to adhere to the behavior specification due to above-level vocabulary, lack of target pattern emphasis, and coherence issues.""}}"
tuned,r_controlled_blends_1,2,1002,"r-controlled vowels, consonant blends",0.8679,0.2453,0.5,0,0,53,0,0,0,0,0,0,48,5,r-controlled vowels,0.1321,0.1458,0.8542,0.8679,7,7,1.8571,2,"busy, cows, early, every, farmhouse, homework, title",2,1,r-controlled vowels,consonant blends,,1,The Farmhouse,23,"at, be, big, can, dad, fed, get, gets, go, has, he, him, i, is, mom, my, on, pigs, run, up, us, we, will",2,"and, help",3,"each, she, when",1,farmhouse,6,"day, each, early, homework, night, week",8,"barn, early, every, farmhouse, for, her, homework, work",2,"cows, farmhouse",6,"busy, early, every, farmhouse, homework, title",2,3,2,1,6,8,23,2,,0,,6,truefoundry,openai-group/gpt-4.1,"The story is a series of loosely related statements about farm life with no clear beginning, middle, or ending.","The sentences do not connect logically, making the story confusing and lacking internal consistency.","The story includes above-level words such as 'homework,' 'every,' and 'night,' which are not decodable at the requested phonics level.","There is minimal use of r-controlled vowels and consonant blends, with almost no repetition or focus on these patterns.","The story fails to meet the behavior specification in all key areas, lacking narrative structure, coherence, decodability, and phonics emphasis.","{""narrative_completeness"": {""score"": 0, ""justification"": ""The story is a series of loosely related statements about farm life with no clear beginning, middle, or ending.""}, ""coherence"": {""score"": 0, ""justification"": ""The sentences do not connect logically, making the story confusing and lacking internal consistency.""}, ""decodability_adherence"": {""score"": 0, ""justification"": ""The story includes above-level words such as 'homework,' 'every,' and 'night,' which are not decodable at the requested phonics level.""}, ""target_phonics_pattern_emphasis"": {""score"": 0, ""justification"": ""There is minimal use of r-controlled vowels and consonant blends, with almost no repetition or focus on these patterns.""}, ""overall_spec_adherence"": {""score"": 0, ""justification"": ""The story fails to meet the behavior specification in all key areas, lacking narrative structure, coherence, decodability, and phonics emphasis.""}}"
base,r_controlled_blends_1,3,1003,"r-controlled vowels, consonant blends",0.7186,0.5389,1.0,1,0,167,5,2,2,0,1,0,118,5,r-controlled vowels,0.2814,0.322,0.678,0.7186,47,38,1.9149,2,"about, above, again, animals, answers, branches, colors, creature, creatures, curious, every, flashing, followed, forest, found, growing, happy, hidden, hummed, inside, luna, magic, many, melody, owl, realized, secret, shiny, sitting, something, sound, stronger, tiny, together, trembled, whisper, whispered, young",2,2,"r-controlled vowels, consonant blends",,,1,The Forest's Whisper,18,"as, big, but, danced, did, filled, fox, full, had, in, its, lived, map, named, on, passed, red, so",25,"and, branches, creature, creatures, find, flashing, forest, found, grew, growing, just, old, place, plants, small, soft, sound, stars, step, stronger, told, tree, trees, trembled, world",23,"branches, each, flashing, growing, rocks, sang, she, shiny, sitting, something, songs, stronger, that, them, this, together, when, which, whisper, whispered, wing, with, young",10,"above, came, cave, creature, inside, like, more, name, place, wise",16,"creature, creatures, day, days, each, grew, heard, high, knew, new, night, oak, realized, right, tree, trees",18,"answers, bird, birds, colors, creature, creatures, curious, every, forest, heard, her, more, stars, stronger, together, whisper, whispered, world",8,"about, curious, followed, found, growing, owl, sound, young",34,"about, above, again, animals, answers, branches, colors, creature, creatures, curious, every, flashing, followed, forest, growing, happy, hidden, hummed, inside, luna, magic, many, melody, realized, secret, shiny, sitting, something, stronger, tiny, together, trembled, whisper, whispered",25,23,8,10,34,18,18,25,,1,,16,truefoundry,openai-group/gpt-4.1,"The story has a clear beginning (Luna in the forest), middle (her exploration and discoveries), and ending (the realization about magic and the forest growing stronger).","The story is easy to follow and internally consistent, with logical progression from Luna's exploration to her realization.","The story contains many words above the requested phonics level, such as 'forest,' 'whisper,' 'melody,' 'creatures,' 'branches,' 'hidden,' 'filled,' 'shiny,' 'growing,' 'realized,' and 'trembled,' which are not decodable at the r-controlled vowels and consonant blends level.","While a few r-controlled vowels and consonant blends appear (e.g., 'forest,' 'branch,' 'bird,' 'plants'), the story does not consistently or naturally repeat these patterns throughout.","Despite narrative and coherence strengths, the story fails as a decodable passage due to frequent above-level vocabulary and insufficient emphasis on the target phonics patterns.","{""narrative_completeness"": {""score"": 2, ""justification"": ""The story has a clear beginning (Luna in the forest), middle (her exploration and discoveries), and ending (the realization about magic and the forest growing stronger).""}, ""coherence"": {""score"": 2, ""justification"": ""The story is easy to follow and internally consistent, with logical progression from Luna's exploration to her realization.""}, ""decodability_adherence"": {""score"": 0, ""justification"": ""The story contains many words above the requested phonics level, such as 'forest,' 'whisper,' 'melody,' 'creatures,' 'branches,' 'hidden,' 'filled,' 'shiny,' 'growing,' 'realized,' and 'trembled,' which are not decodable at the r-controlled vowels and consonant blends level.""}, ""target_phonics_pattern_emphasis"": {""score"": 1, ""justification"": ""While a few r-controlled vowels and consonant blends appear (e.g., 'forest,' 'branch,' 'bird,' 'plants'), the story does not consistently or naturally repeat these patterns throughout.""}, ""overall_spec_adherence"": {""score"": 0, ""justification"": ""Despite narrative and coherence strengths, the story fails as a decodable passage due to frequent above-level vocabulary and insufficient emphasis on the target phonics patterns.""}}"
tuned,r_controlled_blends_1,3,1003,"r-controlled vowels, consonant blends",0.8305,0.322,1.0,1,0,59,6,1,2,1,1,1,41,5,r-controlled vowels,0.1695,0.1951,0.8049,0.8305,10,8,1.9,2,"animals, family, farmyard, how, into, many, outside, title",2,2,"r-controlled vowels, consonant blends",,,1,A Trip to the Farmyard,11,"as, be, ca, fun, go, has, is, it, on, tops, will",6,"just, left, small, spot, tree, trip",1,much,1,outside,3,"see, tree, wait",5,"barn, birds, farmyard, for, yard",2,"how, outside",7,"animals, family, farmyard, into, many, outside, title",6,1,2,1,7,5,11,6,,1,,3,truefoundry,openai-group/gpt-4.1,The story has a beginning and middle but lacks a clear ending or resolution.,The story is easy to follow and internally consistent.,"Most vocabulary is within scope, but words like 'family', 'animals', and 'outside' are above the requested phonics progression.","There are a few examples of r-controlled vowels and consonant blends, but they are not emphasized or repeated throughout.","The story partially meets the behavior specification but falls short in narrative completeness, decodability, and target phonics emphasis.","{""narrative_completeness"": {""score"": 1, ""justification"": ""The story has a beginning and middle but lacks a clear ending or resolution.""}, ""coherence"": {""score"": 2, ""justification"": ""The story is easy to follow and internally consistent.""}, ""decodability_adherence"": {""score"": 1, ""justification"": ""Most vocabulary is within scope, but words like 'family', 'animals', and 'outside' are above the requested phonics progression.""}, ""target_phonics_pattern_emphasis"": {""score"": 1, ""justification"": ""There are a few examples of r-controlled vowels and consonant blends, but they are not emphasized or repeated throughout.""}, ""overall_spec_adherence"": {""score"": 1, ""justification"": ""The story partially meets the behavior specification but falls short in narrative completeness, decodability, and target phonics emphasis.""}}"
base,short_vowels_1,1,1001,short-vowel words,0.4842,2.0316,1.0,1,0,190,3,2,1,0,0,0,112,1,short-vowel words,0.5158,0.6786,0.3214,0.4842,98,76,3.9388,6,"above, across, again, air, all, and, anymore, away, back, because, bigger, bright, brighter, climbed, curious, dark, day, down, far, feeling, flying, for, found, gently, glowing, going, ground, happy, high, himself, home, instead, into, just, landed, like, little, long, looked, moon, more, morning, mountain, moving, near, noticed, now, out, rabbit, reached, round, saw, shape, shining, sky, small, smaller, something, somewhere, starry, stars, still, story, strange, tall, than, that, thing, this, time, tiny, too, tree, unusual, usual, went",1,1,short-vowel words,,,1,The Happy Rabbit Who Jumped to the Moon,22,"at, big, bit, but, did, ends, full, go, had, he, hill, hills, it, jumped, lived, max, named, next, on, so, top, up",21,"and, bright, brighter, climbed, flying, found, glowing, ground, himself, just, round, sky, small, smaller, starry, stars, still, story, strange, tree, went",18,"back, feeling, flying, glowing, going, long, morning, moving, reached, shape, shining, something, somewhere, strange, than, that, thing, this",8,"above, anymore, home, like, more, shape, somewhere, time",16,"air, away, bright, brighter, day, feeling, high, instead, looked, moon, mountain, near, reached, somewhere, too, tree",16,"air, anymore, bigger, brighter, curious, dark, far, for, more, morning, near, smaller, somewhere, starry, stars, story",12,"away, curious, down, found, glowing, going, ground, mountain, now, out, round, saw",34,"above, across, again, anymore, away, because, bigger, brighter, curious, feeling, flying, gently, glowing, going, happy, himself, instead, into, landed, little, morning, mountain, moving, noticed, rabbit, shining, smaller, something, somewhere, starry, story, tiny, unusual, usual",21,18,12,8,34,16,22,,,,,16,truefoundry,openai-group/gpt-4.1,"The story has a clear beginning, middle, and ending.","The story is mostly understandable but contains some confusing elements, such as the unclear sequence of Max's actions and the moon's changes.","The story uses many words above the short-vowel level, including 'rabbit,' 'mountain,' 'morning,' 'noticed,' 'unusual,' 'shining,' 'bright,' 'curious,' 'climbed,' 'looked,' 'round,' 'moving,' 'through,' 'air,' 'starry,' 'instead,' 'gently,' and more.",Short-vowel words are rarely used and not emphasized throughout the story.,"The story fails to adhere to the decodability and phonics emphasis requirements, despite having a complete narrative.","{""narrative_completeness"": {""score"": 2, ""justification"": ""The story has a clear beginning, middle, and ending.""}, ""coherence"": {""score"": 1, ""justification"": ""The story is mostly understandable but contains some confusing elements, such as the unclear sequence of Max's actions and the moon's changes.""}, ""decodability_adherence"": {""score"": 0, ""justification"": ""The story uses many words above the short-vowel level, including 'rabbit,' 'mountain,' 'morning,' 'noticed,' 'unusual,' 'shining,' 'bright,' 'curious,' 'climbed,' 'looked,' 'round,' 'moving,' 'through,' 'air,' 'starry,' 'instead,' 'gently,' and more.""}, ""target_phonics_pattern_emphasis"": {""score"": 0, ""justification"": ""Short-vowel words are rarely used and not emphasized throughout the story.""}, ""overall_spec_adherence"": {""score"": 0, ""justification"": ""The story fails to adhere to the decodability and phonics emphasis requirements, despite having a complete narrative.""}}"
tuned,short_vowels_1,1,1001,short-vowel words,0.75,0.8214,1.0,1,0,28,6,1,2,1,1,1,19,1,short-vowel words,0.25,0.3684,0.6316,0.75,7,7,3.2857,6,"and, bright, fast, made, shining, title, warm",1,1,short-vowel words,,,1,The Cat and the Sun,10,"can, cat, has, is, it, mat, on, run, sits, sun",3,"and, bright, fast",1,shining,1,made,1,bright,1,warm,0,,2,"shining, title",3,1,0,1,2,1,10,,,,,1,truefoundry,openai-group/gpt-4.1,The story has a beginning and middle but lacks a clear ending or resolution.,The story is easy to follow and internally consistent.,"Most words are short-vowel, but 'bright' and 'shining' are above the short-vowel level.",Short-vowel words appear several times but are not strongly emphasized throughout.,The story partially meets the specification but has above-level words and a weak ending.,"{""narrative_completeness"": {""score"": 1, ""justification"": ""The story has a beginning and middle but lacks a clear ending or resolution.""}, ""coherence"": {""score"": 2, ""justification"": ""The story is easy to follow and internally consistent.""}, ""decodability_adherence"": {""score"": 1, ""justification"": ""Most words are short-vowel, but 'bright' and 'shining' are above the short-vowel level.""}, ""target_phonics_pattern_emphasis"": {""score"": 1, ""justification"": ""Short-vowel words appear several times but are not strongly emphasized throughout.""}, ""overall_spec_adherence"": {""score"": 1, ""justification"": ""The story partially meets the specification but has above-level words and a weak ending.""}}"
